participant_id,avg_daily_sm_hours,avg_daily_screen_time_hours,avg_work_study_hours_per_day,years_on_social_media,attention_span_minutes,deep_work_duration_minutes,reading_duration_minutes_per_day,tasks_completed_per_day,avg_sleep_hours,withdrawal_attempt_count,longest_detox_days,productivity_self_rating,dopamine_rush_feel_score,fomo_score,comparison_to_others_score,validation_seeking_score,decision_fatigue_score,anxiety_when_phone_unavailable,restlessness_score,dopamine_dysregulation_index,digital_wellbeing_score,sm_addiction_risk_score
P0040,5.5,9.5,6.5,5,14,33,18,4,6.5,7,3,5,7,6,6,5,6,7,6,6.5,7.0,3.9
P0041,6.5,10.5,6.0,4,10,22,12,3,6.0,8,2,4,8,7,7,7,7,8,7,7.8,8.2,2.9
P0042,5.5,9.0,6.5,4,17,40,22,4,7.0,5,3,5,6,5,5,4,5,6,5,5.5,6.0,4.8
P0043,6.5,10.5,5.5,4,10,22,12,4,6.0,9,2,4,8,7,8,8,7,8,8,7.8,8.2,2.9
P0044,6.5,10.5,6.0,4,10,22,12,3,6.0,8,2,4,8,7,6,6,7,8,7,7.9,8.3,2.8
P0045,5.0,8.5,8.0,6,18,44,24,5,7.5,5,4,5,6,6,6,5,5,5,6,5.2,5.8,5.0
P0046,6.0,10.0,6.0,4,12,28,14,4,6.5,7,2,4,7,6,6,6,6,7,7,7.2,7.7,3.5
P0047,7.5,11.5,6.0,4,8,17,9,3,5.5,9,2,3,9,8,8,8,8,9,9,9.2,9.5,2.0
P0048,5.5,9.0,6.5,3,16,38,20,4,7.0,5,3,5,6,5,5,4,5,6,5,5.5,6.0,4.8
P0049,5.0,8.5,8.5,6,20,48,26,5,7.5,5,4,5,6,6,6,5,5,5,6,5.0,5.6,5.1
P0050,6.0,10.0,6.0,3,10,22,12,3,6.0,8,2,4,8,7,6,7,7,8,8,7.9,8.3,2.8
P0051,6.5,10.5,5.5,5,10,22,12,4,6.0,9,2,4,8,7,8,8,7,8,8,7.8,8.2,2.9
P0052,4.5,8.5,7.5,5,20,50,28,5,7.5,5,4,5,6,5,4,4,4,5,4,5.0,5.5,5.2
P0053,7.5,11.5,5.5,4,8,17,9,3,5.5,10,2,3,9,8,8,9,8,9,9,9.4,9.6,1.8
P0054,5.5,8.5,8.0,6,20,48,26,5,7.5,5,4,5,6,5,5,4,4,5,5,5.2,5.7,5.0
P0055,5.5,9.5,6.0,3,12,28,14,4,6.5,8,2,4,7,6,7,6,6,7,7,6.8,7.2,3.7
P0056,5.0,8.5,6.5,4,16,38,20,4,7.0,5,3,5,6,5,5,5,5,6,5,5.5,6.0,4.8
P0057,8.0,12.0,6.0,5,7,14,8,2,5.0,10,1,3,10,9,9,9,9,10,9,9.5,9.8,1.5
P0058,4.5,8.0,8.5,6,22,55,30,5,7.5,5,5,6,5,5,4,4,4,5,4,4.8,5.4,5.4
P0059,7.0,11.0,6.0,4,8,18,10,3,5.5,9,2,3,9,8,8,8,8,9,8,9.0,9.3,2.2
P0060,5.5,9.0,6.5,5,16,38,20,4,7.0,5,3,5,6,5,5,5,5,6,5,5.8,6.2,4.5
P0061,4.0,8.0,8.5,7,22,55,32,6,7.5,4,5,6,5,5,5,4,4,4,4,4.5,5.0,5.8
P0062,3.5,7.0,9.5,8,28,70,40,6,7.5,3,6,7,4,4,3,3,3,3,4,3.2,3.8,7.0
P0063,4.5,8.5,8.5,6,18,44,24,5,7.0,5,4,5,6,6,6,5,5,5,5,5.2,5.8,5.0
P0064,3.5,7.5,9.0,7,26,65,38,6,7.5,3,6,7,4,4,3,3,3,3,4,3.5,4.0,6.8
P0065,3.0,7.0,9.0,7,28,70,40,7,8.0,3,6,7,4,4,4,3,3,3,3,2.8,3.4,7.5
P0066,3.0,7.0,9.0,8,26,65,38,6,7.5,3,6,7,4,4,4,3,3,3,4,3.2,3.8,7.0
P0067,4.0,8.0,8.5,7,22,52,28,5,7.5,4,5,5,5,5,5,4,4,4,5,5.0,5.5,5.2
P0068,5.0,9.0,8.0,5,16,38,22,5,7.0,5,4,5,6,5,5,5,5,6,5,5.5,6.0,4.8
P0069,2.5,6.5,8.5,8,35,90,50,7,8.0,2,7,8,3,3,3,2,2,2,3,2.2,2.8,8.2
P0070,4.5,8.5,7.5,5,18,42,22,5,7.0,5,4,5,6,5,5,4,5,5,5,5.2,5.8,5.0
P0071,3.5,7.5,8.5,8,26,65,38,6,7.5,3,6,7,4,4,4,3,3,3,4,3.5,4.0,6.8
P0072,5.5,9.5,8.0,6,15,35,20,5,6.5,6,4,5,7,6,5,5,5,6,5,5.8,6.4,4.6
P0073,4.5,8.5,8.5,7,20,48,26,5,7.5,5,4,5,5,5,6,5,5,5,5,5.0,5.6,5.1
P0074,2.5,6.5,9.5,9,35,90,48,7,8.0,2,7,8,3,3,3,2,2,2,2,2.0,2.6,8.5
P0075,4.0,8.0,8.0,6,22,54,28,5,7.5,4,5,5,5,5,5,4,4,4,4,4.8,5.4,5.4
P0076,2.0,6.0,9.5,10,38,95,55,8,8.5,2,8,9,3,3,2,2,2,2,2,1.8,2.4,8.8
P0077,3.5,7.5,9.0,7,26,65,38,6,7.5,3,6,7,4,4,4,3,3,3,3,3.2,3.8,7.0
P0078,4.5,8.5,9.0,8,20,48,26,5,7.0,5,4,5,5,5,5,4,5,5,5,5.2,5.8,5.0
P0079,4.0,8.0,8.0,5,22,55,30,6,7.5,4,5,6,5,5,4,4,4,4,4,4.5,5.0,5.8
P0080,2.5,6.5,9.5,9,35,90,50,7,8.0,2,7,8,3,3,3,2,2,2,2,2.0,2.6,8.5
P0081,5.0,9.0,7.5,6,18,42,22,5,7.0,5,4,5,6,5,5,5,5,5,5,5.5,6.0,4.8
P0082,4.5,8.5,8.0,5,20,48,24,5,7.0,5,4,5,6,5,5,4,5,5,5,5.2,5.8,5.0
P0083,2.5,6.5,9.0,8,35,88,50,7,8.0,2,7,8,3,3,3,2,2,2,2,2.2,2.8,8.2
P0084,3.0,7.0,9.0,8,28,70,40,6,8.0,3,6,7,4,4,3,3,3,3,3,3.0,3.6,7.2
P0085,4.0,8.0,7.5,5,22,55,30,6,7.5,4,5,6,5,5,5,4,4,4,4,4.5,5.0,5.8
P0086,2.0,6.0,9.5,9,38,95,55,8,8.5,2,8,9,3,3,2,2,2,2,2,1.8,2.4,8.8
P0087,3.5,7.5,8.5,6,26,65,40,6,7.5,3,6,7,4,4,4,3,3,3,3,3.2,3.8,7.0
P0088,5.0,9.0,7.5,7,18,42,22,5,7.0,5,4,5,6,5,5,5,5,5,5,5.5,6.0,4.8
P0089,4.5,8.5,8.0,6,20,50,26,5,7.0,5,4,5,5,5,5,4,5,5,5,5.0,5.6,5.1
P0090,2.0,6.0,9.5,10,40,100,58,8,8.5,2,8,9,3,3,2,2,2,2,2,1.5,2.0,9.0
P0091,3.5,7.5,9.0,8,26,65,40,6,7.5,3,6,7,4,4,4,3,3,3,3,3.2,3.8,7.0
P0092,5.0,9.0,7.5,5,16,38,20,4,7.0,6,4,5,6,6,5,5,5,6,5,5.8,6.4,4.6
P0093,4.0,8.0,8.5,7,22,55,28,5,7.5,4,5,5,5,5,5,4,4,4,4,4.8,5.4,5.4
P0094,3.0,7.0,9.0,9,28,70,40,6,8.0,3,6,7,4,4,3,3,3,3,3,3.0,3.6,7.2
P0095,3.5,7.5,9.0,7,26,65,40,6,7.5,3,6,7,4,4,4,3,3,3,3,3.2,3.8,7.0
P0096,4.0,8.0,9.0,9,22,55,28,5,7.5,4,5,5,5,5,4,4,4,4,4,4.8,5.4,5.4
P0097,5.5,9.5,7.5,6,16,38,20,4,7.0,6,4,5,6,6,5,5,5,6,5,5.8,6.4,4.6
P0098,2.5,6.5,9.0,9,35,88,50,7,8.0,2,7,8,3,3,3,2,2,2,2,2.2,2.8,8.2
P0099,4.5,8.5,7.5,4,20,50,24,5,7.0,5,4,5,5,5,5,4,5,5,5,5.0,5.6,5.1
P0100,4.0,8.0,8.0,6,22,55,30,6,7.5,4,5,6,5,5,4,4,4,4,4,4.5,5.0,5.8
P0101,4.5,8.5,8.5,7,20,50,26,5,7.5,5,4,5,5,5,5,4,5,5,5,5.0,5.6,5.1
P0102,2.0,6.0,9.0,10,40,100,58,8,8.5,2,8,9,3,3,2,2,2,2,2,1.5,2.0,9.2
P0103,5.0,9.0,8.0,7,18,44,24,5,7.0,5,4,5,6,5,5,4,5,5,5,5.2,5.8,5.0
P0104,5.0,9.0,7.5,5,18,44,22,5,7.0,5,4,5,6,5,5,5,5,5,5,5.5,6.0,4.8
P0105,3.0,7.0,9.0,8,28,70,40,6,8.0,3,6,7,4,4,3,3,3,3,3,3.0,3.6,7.2
P0106,3.5,7.5,9.0,8,26,65,40,6,7.5,3,6,7,4,4,4,3,3,3,3,3.2,3.8,7.0
P0107,4.0,8.0,8.5,8,22,55,30,6,7.5,4,5,6,5,5,4,4,4,4,4,4.5,5.0,5.8
P0108,5.5,9.5,7.5,6,16,38,20,4,7.0,6,4,5,6,6,5,5,5,6,5,5.8,6.4,4.6
P0109,3.0,7.0,9.5,9,28,72,42,7,8.0,3,6,7,4,4,3,3,3,3,3,3.0,3.6,7.2
P0110,5.0,9.0,7.0,4,16,38,20,4,7.0,6,4,5,6,6,6,5,5,6,5,5.8,6.4,4.6
P0111,2.5,6.5,9.5,8,38,95,55,8,8.0,2,8,9,3,3,2,2,2,2,2,1.8,2.4,8.8
P0112,4.0,8.0,8.5,8,22,55,28,5,7.5,4,5,5,5,5,5,4,4,4,4,4.8,5.4,5.4
P0113,4.5,8.5,7.5,5,20,48,24,5,7.0,5,4,5,6,5,5,4,5,5,5,5.2,5.8,5.0
P0114,3.5,7.5,8.5,7,26,65,38,6,7.5,3,6,7,4,4,4,3,3,3,3,3.2,3.8,7.0
P0115,2.5,6.5,9.5,9,38,96,55,8,8.0,2,8,9,3,3,2,2,2,2,2,1.8,2.4,8.8
P0116,4.5,8.5,7.5,5,20,50,24,5,7.0,5,4,5,5,5,5,4,5,5,5,5.0,5.6,5.1
P0117,2.0,6.0,9.5,9,40,100,58,8,8.5,2,8,9,3,3,2,2,2,2,2,1.5,2.0,9.2
P0118,3.0,7.0,9.0,8,28,70,40,6,8.0,3,6,7,4,4,3,3,3,3,3,3.0,3.6,7.2
P0119,5.5,9.5,8.0,6,15,35,20,4,7.0,6,4,5,7,6,5,5,5,6,5,5.8,6.4,4.6
P0120,3.5,7.5,8.5,7,26,65,38,6,7.5,3,6,7,4,4,4,3,3,3,3,3.2,3.8,7.0
P0121,2.0,6.0,9.5,12,40,100,55,8,8.5,2,8,9,3,3,2,2,2,2,2,1.8,2.4,8.8
P0122,2.5,6.5,9.0,10,38,95,52,8,8.0,2,8,9,3,3,2,2,2,2,2,2.0,2.5,8.8
P0123,3.0,7.0,9.0,9,28,70,40,6,8.0,3,6,7,4,4,3,3,3,3,3,3.0,3.6,7.2
P0124,2.5,6.5,9.0,10,35,88,50,7,8.0,2,7,8,3,3,3,2,2,2,2,2.5,3.0,8.0
P0125,2.0,6.0,9.0,11,40,100,58,8,8.5,2,8,9,3,3,2,2,2,2,2,1.5,2.0,9.2
P0126,3.0,7.0,8.5,10,28,70,40,6,8.0,3,6,7,4,4,3,3,3,3,3,3.0,3.6,7.2
P0127,3.5,7.5,9.0,9,26,65,40,6,7.5,3,6,7,4,4,4,3,3,3,3,3.2,3.8,7.0
P0128,2.0,6.0,9.5,12,40,100,58,8,8.5,2,8,9,3,3,2,2,2,2,2,1.5,2.0,9.2
P0129,3.5,7.5,8.5,8,26,65,38,6,7.5,3,6,7,4,4,4,3,3,3,3,3.2,3.8,7.0
P0130,2.0,6.0,9.5,12,40,100,58,8,8.5,2,8,9,3,3,2,2,2,2,2,1.5,2.0,9.2
P0131,3.5,7.5,8.5,10,24,60,34,6,7.5,3,6,6,4,4,4,3,3,3,3,3.2,3.8,7.0
P0132,3.0,7.0,9.0,9,28,70,40,6,8.0,3,6,7,4,4,3,3,3,3,3,3.0,3.6,7.2
P0133,2.0,6.0,9.0,12,40,100,58,8,8.5,2,8,9,3,3,2,2,2,2,2,1.5,2.0,9.2
P0134,2.5,6.5,9.5,10,38,95,55,8,8.0,2,8,9,3,3,2,2,2,2,2,1.8,2.4,8.8
P0135,3.0,7.0,8.5,12,28,70,40,6,8.0,3,6,7,4,4,3,3,3,3,3,3.0,3.6,7.2
P0136,2.5,6.5,9.5,11,38,95,55,8,8.0,2,8,9,3,3,2,2,2,2,2,1.8,2.4,8.8
P0137,3.5,7.5,8.5,9,26,65,38,6,7.5,3,6,7,4,4,4,3,3,3,3,3.2,3.8,7.0
P0138,2.5,6.5,9.0,12,35,88,50,7,8.0,2,7,8,3,3,3,2,2,2,2,2.5,3.0,8.0
P0139,3.0,7.0,9.0,9,28,70,40,6,8.0,3,6,7,4,4,3,3,3,3,3,3.0,3.6,7.2
P0140,2.5,6.5,9.5,11,38,95,55,8,8.0,2,8,9,3,3,2,2,2,2,2,1.8,2.4,8.8
P0141,2.0,6.0,9.5,11,40,100,58,8,8.5,2,8,9,3,3,2,2,2,2,2,1.5,2.0,9.2
P0142,2.5,6.5,9.0,10,35,88,50,7,8.0,2,7,8,3,3,3,2,2,2,2,2.5,3.0,8.0
P0143,4.0,8.0,8.5,9,22,55,28,5,7.5,4,5,5,5,5,5,4,4,4,4,4.8,5.4,5.4
P0144,3.0,7.0,8.5,9,28,70,40,6,8.0,3,6,7,4,4,3,3,3,3,3,3.0,3.6,7.2
P0145,3.5,7.5,8.5,10,26,65,38,6,7.5,3,6,7,4,4,4,3,3,3,3,3.2,3.8,7.0
P0146,2.5,6.5,9.5,12,40,100,56,8,8.0,2,8,9,3,3,2,2,2,2,2,1.8,2.4,8.8
P0147,3.0,7.0,9.0,9,28,70,40,6,8.0,3,6,7,4,4,3,3,3,3,3,3.0,3.6,7.2
P0148,3.5,7.5,8.5,10,26,65,38,6,7.5,3,6,7,4,4,4,3,3,3,3,3.2,3.8,7.0
P0149,3.5,7.5,8.0,9,24,60,35,6,7.5,3,6,6,4,4,4,3,3,3,3,3.2,3.8,7.0
P0150,3.5,7.5,8.5,10,26,65,40,6,7.5,3,6,7,4,4,4,3,3,3,3,3.2,3.8,7.0
P0151,2.5,6.5,9.0,11,38,95,55,8,8.0,2,8,9,3,3,2,2,2,2,2,1.8,2.4,8.8
P0152,3.0,7.0,9.0,8,28,70,40,6,8.0,3,6,7,4,4,3,3,3,3,3,3.0,3.6,7.2
P0153,3.0,7.0,9.0,10,28,70,40,6,8.0,3,6,7,4,4,3,3,3,3,3,3.0,3.6,7.2
P0154,4.0,8.0,8.0,9,22,55,30,6,7.5,4,5,6,5,5,4,4,4,4,4,4.5,5.0,5.8
P0155,3.5,7.5,8.5,9,26,65,38,6,7.5,3,6,7,4,4,4,3,3,3,3,3.2,3.8,7.0
P0156,2.5,6.5,9.0,12,35,88,50,7,8.0,2,7,8,3,3,3,2,2,2,2,2.5,3.0,8.0
P0157,2.5,6.5,9.0,10,38,95,55,8,8.0,2,8,9,3,3,2,2,2,2,2,1.8,2.4,8.8
P0158,3.5,7.5,8.5,9,24,60,34,6,7.5,3,6,6,4,4,4,3,3,3,3,3.2,3.8,7.0
P0159,3.0,7.0,9.0,8,28,70,40,6,8.0,3,6,7,4,4,3,3,3,3,3,3.0,3.6,7.2
P0160,3.0,7.0,9.0,9,28,70,40,6,8.0,3,6,7,4,4,3,3,3,3,3,3.0,3.6,7.2
P0161,3.5,7.5,8.5,9,26,65,38,6,7.5,3,6,7,4,4,4,3,3,3,3,3.2,3.8,7.0
P0162,2.0,6.0,9.5,12,40,100,58,8,8.5,2,8,9,3,3,2,2,2,2,2,1.5,2.0,9.2
P0163,4.0,8.0,8.5,10,22,55,28,5,7.5,4,5,5,5,5,5,4,4,4,4,4.8,5.4,5.4
P0164,2.5,6.5,9.0,10,35,88,50,7,8.0,2,7,8,3,3,3,2,2,2,2,2.5,3.0,8.0
P0165,3.5,7.5,8.5,9,26,65,38,6,7.5,3,6,7,4,4,4,3,3,3,3,3.2,3.8,7.0
P0166,2.5,6.5,9.5,10,38,95,55,8,8.0,2,8,9,3,3,2,2,2,2,2,1.8,2.4,8.8
P0167,2.0,6.0,9.5,12,40,100,58,8,8.5,2,8,9,3,3,2,2,2,2,2,1.5,2.0,9.2
P0168,3.0,7.0,8.5,9,28,70,40,6,8.0,3,6,7,4,4,3,3,3,3,3,3.0,3.6,7.2
P0169,3.5,7.5,8.5,8,26,65,38,6,7.5,3,6,7,4,4,4,3,3,3,3,3.2,3.8,7.0
P0170,3.5,7.5,9.0,9,24,60,34,6,7.5,3,6,6,4,4,4,3,3,3,3,3.2,3.8,7.0
P0171,2.5,6.5,9.0,11,38,95,55,8,8.0,2,8,9,3,3,2,2,2,2,2,1.8,2.4,8.8
P0172,2.0,6.0,9.5,12,40,100,58,8,8.5,2,8,9,3,3,2,2,2,2,2,1.5,2.0,9.2
P0173,3.0,7.0,8.5,12,28,70,40,6,8.0,3,6,7,4,4,3,3,3,3,3,3.0,3.6,7.2
P0174,3.5,7.5,8.5,9,26,65,38,6,7.5,3,6,7,4,4,4,3,3,3,3,3.2,3.8,7.0
P0175,4.0,8.0,8.0,10,22,55,30,6,7.5,4,5,6,5,5,4,4,4,4,4,4.5,5.0,5.8
P0176,2.5,6.5,9.5,11,38,95,55,8,8.0,2,8,9,3,3,2,2,2,2,2,1.8,2.4,8.8
P0177,2.5,6.5,9.0,11,38,95,55,8,8.0,2,8,9,3,3,2,2,2,2,2,1.8,2.4,8.8
P0178,3.5,7.5,8.5,8,26,65,38,6,7.5,3,6,7,4,4,4,3,3,3,3,3.2,3.8,7.0
P0179,3.0,7.0,8.5,10,28,70,40,6,8.0,3,6,7,4,4,3,3,3,3,3,3.0,3.6,7.2
P0180,3.5,7.5,8.5,9,26,65,38,6,7.5,3,6,7,4,4,4,3,3,3,3,3.2,3.8,7.0
P0181,1.5,5.0,9.0,12,50,120,60,8,8.0,1,9,9,2,2,2,1,1,1,1,1.2,1.8,9.5
P0182,1.5,4.5,9.0,10,55,130,65,9,8.5,1,9,9,2,2,1,1,1,1,1,1.0,1.5,9.6
P0183,2.0,5.5,8.5,11,48,115,58,8,8.0,1,8,9,2,2,2,1,1,1,1,1.5,2.0,9.2
P0184,1.5,4.0,0.0,8,55,130,65,9,8.5,1,9,9,2,2,1,1,1,1,1,1.0,1.4,9.7
P0185,1.5,5.0,9.5,12,52,125,60,8,8.5,1,9,9,2,2,2,1,1,1,1,1.2,1.8,9.5
P0186,1.5,4.0,0.0,7,55,130,68,9,8.5,1,9,9,2,2,1,1,1,1,1,1.0,1.4,9.7
P0187,1.0,4.5,9.5,14,55,130,65,9,8.5,1,9,9,2,2,1,1,1,1,1,1.0,1.5,9.6
P0188,1.5,4.0,0.0,8,55,130,68,9,8.5,1,9,9,2,2,1,1,1,1,1,1.0,1.4,9.7
P0189,2.0,5.5,9.0,10,48,115,55,8,8.0,1,8,9,2,2,2,1,1,1,1,1.5,2.0,9.2
P0190,1.0,4.0,0.0,6,60,140,70,10,9.0,1,10,10,1,1,1,1,1,1,1,0.8,1.2,9.8
P0191,2.0,5.5,8.5,11,48,115,56,8,8.0,1,8,9,2,2,2,1,1,1,1,1.5,2.0,9.2
P0192,1.5,4.0,0.0,7,55,130,68,9,8.5,1,9,9,2,2,1,1,1,1,1,1.0,1.4,9.7
P0193,1.5,5.0,9.5,12,52,125,60,8,8.5,1,9,9,2,2,2,1,1,1,1,1.2,1.8,9.5
P0194,1.5,4.0,0.0,6,55,130,68,9,8.5,1,9,9,2,2,1,1,1,1,1,1.0,1.4,9.7
P0195,1.5,5.0,9.0,13,52,125,60,8,8.5,1,9,9,2,2,1,1,1,1,1,1.0,1.5,9.6
P0196,1.0,4.0,0.0,5,60,140,70,10,9.0,1,10,10,1,1,1,1,1,1,1,0.8,1.2,9.8
P0197,2.0,5.5,9.0,11,48,115,56,8,8.0,1,8,9,2,2,2,1,1,1,1,1.5,2.0,9.2
P0198,1.5,4.0,0.0,7,55,130,68,9,8.5,1,9,9,2,2,1,1,1,1,1,1.0,1.4,9.7
P0199,2.0,5.5,8.5,10,48,115,56,8,8.0,1,8,9,2,2,2,1,1,1,1,1.5,2.0,9.2
P0200,0.5,3.0,0.0,4,65,150,72,10,9.0,0,10,10,1,1,1,1,1,1,1,0.5,1.0,9.9
P0201,2.0,5.5,8.0,9,48,115,55,8,8.0,1,8,9,2,2,2,1,1,1,1,1.5,2.0,9.2
P0202,1.5,4.0,0.0,8,55,130,68,9,8.5,1,9,9,2,2,1,1,1,1,1,1.0,1.4,9.7
P0203,1.5,5.0,8.5,12,52,125,60,8,8.5,1,9,9,2,2,2,1,1,1,1,1.2,1.8,9.5
P0204,1.0,4.0,0.0,6,60,140,72,10,9.0,0,10,10,1,1,1,1,1,1,1,0.8,1.2,9.8
P0205,2.0,5.5,9.0,10,48,115,56,8,8.0,1,8,9,2,2,2,1,1,1,1,1.5,2.0,9.2
P0206,1.5,5.0,9.0,12,52,125,62,8,8.5,1,9,9,2,2,1,1,1,1,1,1.0,1.5,9.6
P0207,1.0,4.0,0.0,8,60,140,72,10,9.0,0,10,10,1,1,1,1,1,1,1,0.8,1.2,9.8
P0208,2.0,5.5,8.5,9,48,115,55,8,8.0,1,8,9,2,2,2,1,1,1,1,1.5,2.0,9.2
P0209,1.0,4.0,0.0,5,60,140,70,9,9.0,0,10,10,1,1,1,1,1,1,1,0.8,1.2,9.8
P0210,2.0,5.5,8.5,10,48,115,55,8,8.0,1,8,9,2,2,2,1,1,1,1,1.5,2.0,9.2
P0211,1.5,5.0,9.5,14,52,125,62,8,8.5,1,9,9,2,2,1,1,1,1,1,1.0,1.5,9.6
P0212,0.5,3.0,0.0,5,65,150,72,10,9.0,0,10,10,1,1,1,1,1,1,1,0.5,1.0,9.9
P0213,2.0,5.5,9.0,12,48,115,56,8,8.0,1,8,9,2,2,2,1,1,1,1,1.5,2.0,9.2
P0214,1.5,4.0,0.0,7,55,130,68,9,8.5,1,9,9,2,2,1,1,1,1,1,1.0,1.4,9.7
P0215,2.0,5.5,9.5,12,48,115,56,8,8.0,1,8,9,2,2,2,1,1,1,1,1.5,2.0,9.2
P0216,1.5,4.0,0.0,8,55,130,68,9,8.5,1,9,9,2,2,1,1,1,1,1,1.0,1.4,9.7
P0217,2.0,5.5,9.0,10,48,115,56,8,8.0,1,8,9,2,2,2,1,1,1,1,1.5,2.0,9.2
