participant_id,task_switching_frequency,difficulty_starting_tasks,difficulty_maintaining_focus,mind_wandering_during_work,creative_output_frequency,memory_recall_difficulty,learning_retention_difficulty,productivity_decline_score
P0207,Low,Never,Never,Never,Excellent,Never,Never,None/Minimal
P0208,Low,Rarely,Rarely,Rarely,Good,Rarely,Rarely,None/Minimal
P0209,Low,Never,Never,Never,Excellent,Never,Never,None/Minimal
P0210,Low,Rarely,Rarely,Rarely,Good,Rarely,Rarely,None/Minimal
P0211,Low,Rarely,Rarely,Never,Very good,Rarely,Rarely,None/Minimal
P0212,Low,Never,Never,Never,Excellent,Never,Never,None/Minimal
P0213,Low,Rarely,Rarely,Rarely,Good,Rarely,Rarely,None/Minimal
P0214,Low,Never,Rarely,Never,Very good,Rarely,Never,None/Minimal
P0215,Low,Rarely,Rarely,Rarely,Good,Rarely,Rarely,None/Minimal
P0216,Low,Never,Rarely,Never,Very good,Rarely,Never,None/Minimal
P0217,Low,Rarely,Rarely,Rarely,Good,Rarely,Rarely,None/Minimal
P0218,Low,Never,Never,Never,Excellent,Never,Never,None/Minimal
P0219,Low,Rarely,Rarely,Rarely,Good,Rarely,Rarely,None/Minimal
P0220,Low,Never,Never,Never,Excellent,Never,Never,None/Minimal
P0221,Low,Rarely,Rarely,Rarely,Good,Rarely,Rarely,None/Minimal
P0222,Low,Never,Rarely,Never,Very good,Rarely,Never,None/Minimal
P0223,Low,Rarely,Rarely,Never,Very good,Rarely,Rarely,None/Minimal
P0224,Low,Never,Never,Never,Excellent,Never,Never,None/Minimal
P0225,Low,Rarely,Rarely,Rarely,Good,Rarely,Rarely,None/Minimal
P0226,Low,Never,Never,Never,Excellent,Never,Never,None/Minimal
P0227,Low,Rarely,Rarely,Rarely,Good,Rarely,Rarely,None/Minimal
P0228,Low,Never,Never,Never,Excellent,Never,Never,None/Minimal
P0229,Low,Rarely,Rarely,Rarely,Good,Rarely,Rarely,None/Minimal
P0230,Low,Never,Rarely,Never,Very good,Rarely,Never,None/Minimal
P0231,Low,Rarely,Rarely,Never,Very good,Rarely,Rarely,None/Minimal
P0232,Low,Never,Never,Never,Excellent,Never,Never,None/Minimal
P0233,Low,Rarely,Rarely,Rarely,Good,Rarely,Rarely,None/Minimal
P0234,Low,Never,Rarely,Never,Very good,Rarely,Never,None/Minimal
P0235,Low,Rarely,Rarely,Never,Very good,Rarely,Rarely,None/Minimal
P0236,Low,Never,Never,Never,Excellent,Never,Never,None/Minimal
P0237,Low,Rarely,Rarely,Rarely,Good,Rarely,Rarely,None/Minimal
P0238,Low,Rarely,Rarely,Rarely,Good,Rarely,Rarely,None/Minimal
P0239,Low,Never,Never,Never,Excellent,Never,Never,None/Minimal
P0240,Low,Rarely,Rarely,Never,Very good,Rarely,Rarely,None/Minimal
P0241,High,Yes,Yes,Yes,Low,Yes,Yes,Severe
P0242,High,Yes,Yes,Yes,Low,Yes,Yes,Critical
P0243,High,Yes,Yes,Yes,Low,Yes,Yes,Severe
P0244,High,Yes,Yes,Yes,Low,Yes,Yes,Critical
P0245,High,Yes,Yes,Yes,Low,Yes,Yes,Critical
P0246,Moderate,Sometimes,Sometimes,Sometimes,Moderate,Yes,Sometimes,Moderate
P0247,Moderate,Sometimes,Sometimes,Sometimes,Moderate,Yes,Sometimes,Early
P0248,High,Yes,Yes,Yes,Very low,Yes,Yes,Critical
P0249,High,Yes,Yes,Yes,Very low,Yes,Yes,Critical
P0250,Moderate,Sometimes,Sometimes,Rarely,Good,Sometimes,Rarely,None/Minimal
P0251,High,Yes,Yes,Yes,Very low,Yes,Yes,Critical
P0252,Moderate,Yes,Yes,Sometimes,Moderate,Yes,Yes,Moderate
P0253,Moderate,Yes,Yes,Sometimes,Moderate,Yes,Yes,Severe
P0254,Moderate,Sometimes,Yes,Sometimes,Moderate,Yes,Yes,Moderate
P0255,High,Yes,Yes,Yes,Low,Yes,Yes,Critical
P0256,Moderate,Sometimes,Sometimes,Sometimes,Moderate,Yes,Sometimes,Early
P0257,High,Yes,Yes,Yes,Low,Yes,Yes,Critical
P0258,Low,Rarely,Sometimes,Rarely,Good,Rarely,Rarely,None/Minimal
P0259,High,Yes,Yes,Yes,Low,Yes,Yes,Critical
P0260,Moderate,Sometimes,Yes,Sometimes,Moderate,Yes,Yes,Moderate
P0261,High,Yes,Yes,Yes,Very low,Yes,Yes,Critical
P0262,Moderate,Sometimes,Sometimes,Rarely,Moderate,Sometimes,Sometimes,Early
P0263,High,Yes,Yes,Yes,Low,Yes,Yes,Critical
P0264,Moderate,Sometimes,Sometimes,Rarely,Moderate,Sometimes,Sometimes,Early
P0265,High,Yes,Yes,Yes,Low,Yes,Yes,Severe
P0266,High,Yes,Yes,Yes,Low,Yes,Yes,Severe
P0267,High,Yes,Yes,Yes,Low,Yes,Yes,Critical
P0268,Moderate,Sometimes,Sometimes,Sometimes,Moderate,Yes,Sometimes,Early
P0269,Moderate,Sometimes,Yes,Sometimes,Moderate,Yes,Yes,Moderate
P0270,Moderate,Sometimes,Sometimes,Sometimes,Moderate,Sometimes,Sometimes,Early
P0271,High,Yes,Yes,Yes,Low,Yes,Yes,Critical
P0272,Low,Sometimes,Sometimes,Rarely,Good,Sometimes,Rarely,None/Minimal
P0273,Moderate,Sometimes,Sometimes,Sometimes,Moderate,Yes,Sometimes,Moderate
P0274,High,Yes,Yes,Yes,Low,Yes,Yes,Severe
P0275,Moderate,Sometimes,Yes,Sometimes,Moderate,Yes,Yes,Moderate
P0276,Moderate,Sometimes,Sometimes,Rarely,Moderate,Sometimes,Sometimes,Early
P0277,Moderate,Sometimes,Yes,Sometimes,Moderate,Yes,Yes,Moderate
P0278,Low,Rarely,Sometimes,Rarely,Good,Rarely,Rarely,None/Minimal
P0279,Moderate,Sometimes,Yes,Sometimes,Moderate,Yes,Yes,Moderate
P0280,High,Yes,Yes,Yes,Very low,Yes,Yes,Critical
P0281,Low,Rarely,Rarely,Rarely,Good,Rarely,Rarely,None/Minimal
P0282,Moderate,Sometimes,Yes,Sometimes,Moderate,Yes,Yes,Moderate
P0283,High,Yes,Yes,Yes,Low,Yes,Yes,Severe
P0284,High,Yes,Yes,Yes,Low,Yes,Yes,Critical
P0285,Low,Rarely,Sometimes,Rarely,Good,Rarely,Rarely,None/Minimal
P0286,Moderate,Sometimes,Sometimes,Sometimes,Moderate,Yes,Sometimes,Early
P0287,Moderate,Sometimes,Yes,Sometimes,Moderate,Yes,Yes,Moderate
P0288,High,Yes,Yes,Yes,Low,Yes,Yes,Critical
P0289,Moderate,Sometimes,Sometimes,Sometimes,Moderate,Yes,Sometimes,Early
P0290,High,Yes,Yes,Yes,Low,Yes,Yes,Severe
P0291,Low,Rarely,Rarely,Rarely,Good,Rarely,Rarely,None/Minimal
P0292,High,Yes,Yes,Yes,Low,Yes,Yes,Critical
P0293,Low,Rarely,Sometimes,Rarely,Good,Rarely,Rarely,None/Minimal
P0294,High,Yes,Yes,Yes,Very low,Yes,Yes,Critical
P0295,Moderate,Sometimes,Yes,Sometimes,Moderate,Yes,Yes,Moderate
P0296,High,Yes,Yes,Yes,Low,Yes,Yes,Severe
P0297,Moderate,Sometimes,Sometimes,Rarely,Moderate,Sometimes,Sometimes,Early
P0298,High,Yes,Yes,Yes,Low,Yes,Yes,Critical
P0299,Low,Rarely,Sometimes,Rarely,Good,Rarely,Rarely,None/Minimal
P0300,High,Yes,Yes,Yes,Low,Yes,Yes,Critical
